username,event_type,time
sergiz,edx.course.enrollment.activated,2016-03-17
eke,edx.course.enrollment.activated,2016-03-18
plago9,edx.course.enrollment.activated,2016-03-19
AnaPerez,edx.course.enrollment.activated,2016-03-19
JAG,edx.course.enrollment.activated,2016-03-19
anthony76,edx.course.enrollment.activated,2016-03-20
dsubira,edx.course.enrollment.activated,2016-03-21
Mariuxi,edx.course.enrollment.activated,2016-03-22
Jordi1992,edx.course.enrollment.activated,2016-03-23
LauAlenar,edx.course.enrollment.activated,2016-03-24
Martimp,edx.course.enrollment.activated,2016-03-25
SoniaJP,edx.course.enrollment.activated,2016-03-26
VilaAlbert,edx.course.enrollment.activated,2016-03-28
Claudiaarques,edx.course.enrollment.activated,2016-03-31
NoeliaMirRebull,edx.course.enrollment.activated,2016-04-02
jmorapruna,edx.course.enrollment.activated,2016-04-02
pauan,edx.course.enrollment.activated,2016-04-04
Laiariu94,edx.course.enrollment.activated,2016-04-04
marinmontse,edx.course.enrollment.activated,2016-04-04
Oriolsa,edx.course.enrollment.activated,2016-04-04
lsanchon,edx.course.enrollment.activated,2016-04-04
JordiMendez,edx.course.enrollment.activated,2016-04-04
Julia,edx.course.enrollment.activated,2016-04-05
OnaTribo,edx.course.enrollment.activated,2016-04-05
Scrumm,edx.course.enrollment.activated,2016-04-05
lluislucas,edx.course.enrollment.activated,2016-04-05
Gina,edx.course.enrollment.activated,2016-04-08
XMP,edx.course.enrollment.activated,2016-04-08
Marta88,edx.course.enrollment.activated,2016-04-11
DavidMasip,edx.course.enrollment.activated,2016-04-12
laura_vallllosera,edx.course.enrollment.activated,2016-04-13
cathvafc,edx.course.enrollment.activated,2016-04-14
palaublau,edx.course.enrollment.activated,2016-04-14
ferranbv,edx.course.enrollment.activated,2016-04-16
